Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Brobbey,Sunderland,FWD,5.7,24,OK,4.21,24,7.0,8.59,0.32,7.0,1.0,24.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02
Calvert-Lewin,Leeds,FWD,6.0,22,OK,3.67,22,20.0,22.99,0.88,20.0,1.0,22.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.02
Barry,Everton,FWD,5.6,20,OK,3.57,20,14.0,15.01,0.6,14.0,1.0,20.0,EVE,1109.9047619047617,1106.6666666666665,1109.9047619047617,0.02
Havertz,Arsenal,FWD,7.6,19,OK,2.5,19,17.0,19.01,0.74,17.0,1.0,19.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.02
Evanilson,Bournemouth,FWD,6.0,18,OK,3.0,18,16.0,18.57,0.72,16.0,1.0,18.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.02
Wissa,Newcastle,FWD,6.2,15,OK,2.42,15,15.0,17.07,0.65,15.0,1.0,15.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.01
Isidor,Sunderland,FWD,5.5,15,OK,2.73,15,14.0,16.83,0.64,14.0,1.0,15.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.01
Strand Larsen,Crystal Palace,FWD,6.0,14,OK,2.33,14,12.0,13.11,0.52,12.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01
Gonzalo,Fulham,FWD,6.0,14,OK,2.33,14,12.0,13.54,0.54,12.0,1.0,14.0,FUL,1063.9047619047617,1044.4285714285713,1063.9047619047617,0.01
McBurnie,Hull City,FWD,5.5,13,OK,2.36,13,12.0,13.25,0.53,12.0,1.0,13.0,HUL,1135.7142857142858,1148.6666666666665,1135.7142857142858,0.01
Igor Jesus,Nott'm Forest,FWD,5.8,12,OK,2.07,12,11.0,12.28,0.49,11.0,1.0,12.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01
N.Jackson,Aston Villa,FWD,6.5,10,OK,1.54,10,4.0,4.36,0.18,4.0,1.0,10.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01
Thiago,Brentford,FWD,7.8,10,OK,1.28,10,5.0,5.64,0.22,5.0,1.0,10.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01
Thomas-Asante,Coventry City,FWD,5.0,9,OK,1.8,9,5.0,5.63,0.23,5.0,1.0,9.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.01
Delap,Nott'm Forest,FWD,5.6,9,OK,1.61,9,8.0,8.87,0.35,8.0,1.0,9.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01
Nketiah,Crystal Palace,FWD,5.5,8,OK,1.45,8,7.0,7.77,0.3,7.0,1.0,8.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01
Šeško,Man Utd,FWD,7.0,8,OK,1.14,8,8.0,9.71,0.34,8.0,1.0,8.0,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.01
Marmoush,Spurs,FWD,7.0,8,OK,1.14,8,6.0,6.91,0.26,6.0,1.0,8.0,TOT,1149.333333333333,1208.8095238095239,1149.333333333333,0.01
Akpom,Ipswich Town,FWD,5.0,7,OK,1.4,7,6.0,7.19,0.27,6.0,1.0,7.0,IPS,1171.0,1204.7619047619046,1171.0,0.01
Nmecha,Leeds,FWD,5.4,7,OK,1.3,7,6.0,6.82,0.26,6.0,1.0,7.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.01
Solanke,Spurs,FWD,5.8,7,OK,1.21,7,5.0,5.78,0.22,5.0,1.0,7.0,TOT,1149.333333333333,1208.8095238095239,1149.333333333333,0.01
Georginio,Brighton,FWD,5.3,6,OK,1.13,6,5.0,5.67,0.23,5.0,1.0,6.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01
Flemming,Ipswich Town,FWD,5.5,6,OK,1.09,6,6.0,6.87,0.27,6.0,1.0,6.0,IPS,1171.0,1204.7619047619046,1171.0,0.01
Abraham,Aston Villa,FWD,5.5,4,OK,0.73,4,3.0,3.3,0.13,3.0,1.0,4.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.0
Welbeck,Chelsea,FWD,5.9,4,OK,0.68,4,2.0,2.17,0.09,2.0,1.0,4.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0
Simms,Coventry City,FWD,5.0,4,OK,0.8,4,3.0,3.32,0.14,3.0,1.0,4.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0
Osula,Newcastle,FWD,5.8,4,OK,0.69,4,4.0,4.31,0.17,4.0,1.0,4.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0
Fernandez-Pardo,Newcastle,FWD,6.0,4,OK,0.67,4,2.0,2.14,0.09,2.0,1.0,4.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0
Wood,Nott'm Forest,FWD,5.8,4,OK,0.69,4,3.0,3.43,0.13,3.0,1.0,4.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.0
Jebbison,Bournemouth,FWD,5.0,3,OK,0.6,3,2.0,2.33,0.09,2.0,1.0,3.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.0
Wilson,Brentford,FWD,5.4,3,OK,0.56,3,3.0,3.3,0.13,3.0,1.0,3.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.0
Awoniyi,Coventry City,FWD,5.4,3,OK,0.56,3,5.0,5.87,0.23,5.0,1.0,3.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0
Muniz,Fulham,FWD,5.4,3,OK,0.56,3,3.0,3.45,0.13,3.0,1.0,3.0,FUL,1063.9047619047617,1044.4285714285713,1063.9047619047617,0.0
Gyökeres,Arsenal,FWD,7.1,2,OK,0.28,2,1.0,1.08,0.04,1.0,1.0,2.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.0
Rodríguez,Bournemouth,FWD,6.0,2,OK,0.33,2,2.0,2.32,0.09,2.0,1.0,2.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.0
Mateta,Crystal Palace,FWD,6.3,2,OK,0.32,2,4.0,4.75,0.17,4.0,1.0,2.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.0
Vaz,Hull City,FWD,5.0,2,OK,0.4,2,1.0,1.12,0.04,1.0,1.0,2.0,HUL,1135.7142857142858,1148.6666666666665,1135.7142857142858,0.0
Zirkzee,Man Utd,FWD,5.3,2,OK,0.38,2,1.0,1.06,0.04,1.0,1.0,2.0,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.0
David,Brighton,FWD,5.9,1,OK,0.17,1,1.0,1.17,0.05,1.0,1.0,1.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0
Cherif,Coventry City,FWD,5.0,1,OK,0.2,1,1.0,1.11,0.05,1.0,1.0,1.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0
Walle Egeli,Ipswich Town,FWD,4.5,1,OK,0.22,1,1.0,1.19,0.05,1.0,1.0,1.0,IPS,1171.0,1204.7619047619046,1171.0,0.0
Kalimuendo,Nott'm Forest,FWD,5.4,1,OK,0.19,1,1.0,1.19,0.04,1.0,1.0,1.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.0
Madjo,Aston Villa,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.0
Furo,Brentford,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.0
Tzimas,Brighton,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0
Ferguson,Brighton,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.0
Mheuka,Chelsea,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0
Emegha,Chelsea,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.0
Wright,Coventry City,FWD,5.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,COV,1138.7142857142856,1205.0,1138.7142857142856,0.0
Kusi-Asare,Fulham,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,FUL,1063.9047619047617,1044.4285714285713,1063.9047619047617,0.0
Ansah,Hull City,FWD,5.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,HUL,1135.7142857142858,1148.6666666666665,1135.7142857142858,0.0
Mateo Joseph,Leeds,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.0
Ekitiké,Liverpool,FWD,7.4,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.0
Danns,Liverpool,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.0
Salia,Newcastle,FWD,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.0
